 TW,#genre#
CNN,mitv://ns2.hellotvvod.com:9906/af9a53b73f054846895c9897f8ab4eb6.ts
 民视,mitv://ns2.hellotvvod.com:9906/08fb8494b81e4dfa9a61b876ce6022a3.ts
 人间卫视,mitv://ns2.hellotvvod.com:9906/29553337e2594caf922a0cccc38c1232.ts
 台视,mitv://ns2.hellotvvod.com:9906/4aa17a1600694f0da36e5156ca5a0447.ts
 大爱,mitv://ns2.hellotvvod.com:9906/9d882d3754f244debd3b600c1101c207.ts
 中视,mitv://ns2.hellotvvod.com:9906/b38bd7674fa04ed7bb60a3e5b4c34bab.ts
 霹雳台湾台,mitv://ns2.hellotvvod.com:9906/3f2ca8769dea45eda0336202b2031d5a.ts
 华视,mitv://ns2.hellotvvod.com:9906/92d223a4fd4a4b659f9c18684934b0bf.ts
 公视,mitv://ns2.hellotvvod.com:9906/9a170aa9d7534cfb8b9312bd4076a633.ts
 公视台语台,mitv://ns2.hellotvvod.com:9906/efd77922b2594a12bdbb59551d792e50.ts
 好消息,mitv://ns2.hellotvvod.com:9906/251218e17f29476cb752a3eb4353004c.ts
 原住民宿电视台,mitv://ns2.hellotvvod.com:9906/8a5829009bcd4012a5f8bced68ba2260.ts
 客家电视台,mitv://ns2.hellotvvod.com:9906/c5dc8b39b3f94dd69aefe74220908c51.ts
 国家地理频道,mitv://ns2.hellotvvod.com:9906/55593549ed774246a714d33e3bf3624d.ts
 探索频道,mitv://ns2.hellotvvod.com:9906/103d7ed0fcef45bdaad9d14c19a7b02d.ts
 TLC旅游生活,mitv://ns2.hellotvvod.com:9906/eea0771b39d34844954b2ffcc24dd9d5.ts
 动物星球,mitv://ns2.hellotvvod.com:9906/587ed3520225471781260e8fd30d374a.ts
 CN卡通频道,mitv://ns2.hellotvvod.com:9906/7dc65fee4a084a629fe1d33f7e03a045.ts
 迪士尼频道,mitv://ns2.hellotvvod.com:9906/ec1440fe96e7436988d957c3e929ddf4.ts
 MOMO亲子台,mitv://ns2.hellotvvod.com:9906/7ed964d3c78b41c59d90467a76d17ce9.ts
 东森幼幼台,mitv://ns2.hellotvvod.com:9906/6f0630d555d542d2b436f9209af3901b.ts
 纬来综合台,mitv://ns2.hellotvvod.com:9906/745072cdbc06419083b9b25819317393.ts
 八大第一台,mitv://ns2.hellotvvod.com:9906/6813657aeaad4ab4969e5e3315ccbb35.ts
 八大综合台,mitv://ns2.hellotvvod.com:9906/f6ccfa0da6c34723973154f1603dab7c.ts
 三立台湾台,mitv://ns2.hellotvvod.com:9906/cda3b26b3a9d4830b61ca6ca31dbd5b6.ts
 三立都会台,mitv://ns2.hellotvvod.com:9906/dc07c16a4ec9421f919a23bb333d3929.ts
 卫视中文,mitv://ns2.hellotvvod.com:9906/9a5971581ffb4e9ebe8487897ea2d197.ts
 东森综合台,mitv://ns2.hellotvvod.com:9906/6b60ceb4d93940dda9fa4b30ded3641d.ts
 超视,mitv://ns2.hellotvvod.com:9906/212edfd3c66e42c3ab2d47b9ac20e2d4.ts
 中天综合台,mitv://ns2.hellotvvod.com:9906/0de7c14d2f7e4380872edc078291578c.ts
 中天娱乐台,mitv://ns2.hellotvvod.com:9906/b83886c886fc4c26a7c4b4ae190b6107.ts
 东森戏剧台,mitv://ns2.hellotvvod.com:9906/606b23f54e9543c99a247bd7e39c1eb6.ts
 八大戏剧台,mitv://ns2.hellotvvod.com:9906/9726e3d64db3447297f08274ab20bd86.ts
 TVBS欢乐台,mitv://ns2.hellotvvod.com:9906/1e13848154b64074bd35e65d2eb15109.ts
 纬来戏剧台,mitv://ns2.hellotvvod.com:9906/f55952882cae40c5aa9fbdc9faacd10d.ts
 高点综合台,mitv://ns2.hellotvvod.com:9906/59cb0ad58c28489c83d6735fca5833e5.ts
 BBC World News,mitv://ns2.hellotvvod.com:9906/c2e2e286a6a84e23abb66cea2d6644f7.ts
 Al Jazeera English,mitv://ns2.hellotvvod.com:9906/9801a4886f7445ca97acf83cf019b623.ts
 CNBC,mitv://ns2.hellotvvod.com:9906/604c7980000f1545b9e54cf73208630a.ts
 Bloomberg TV,mitv://ns2.hellotvvod.com:9906/60a21f19000b885b08748225597d1b3a.ts
 HITS,mitv://ns2.hellotvvod.com:9906/60928c4c000685c2cb9efdd523723b0a.ts
 JET综合台,mitv://ns2.hellotvvod.com:9906/3bb5ed1ffdf640f7b31048cdbd3f4512.ts
 壹电视新闻台,mitv://ns2.hellotvvod.com:9906/25a53f54ee5d4bd49c4fdbc6741ca018.ts
 年代新闻,mitv://ns2.hellotvvod.com:9906/20390e3be98c406c9917dbb25d4e0d42.ts
 东森新闻台,mitv://ns2.hellotvvod.com:9906/6068d2b7b8574c0a8a7e1c78df97133d.ts
 中天新闻台,mitv://ns2.hellotvvod.com:9906/ed541615b0a14a8e8e32769d2aa908c2.ts
 民视新闻台,mitv://ns2.hellotvvod.com:9906/337ff42855794e0b8629b17d7559d361.ts
 三立新闻台,mitv://ns2.hellotvvod.com:9906/db2893404a24435d944097640dce0c7f.ts
 TVBS新闻台,mitv://ns2.hellotvvod.com:9906/95156f8bf39c4ba19ccef74b2593dcaa.ts
 TVBS,mitv://ns2.hellotvvod.com:9906/75a33a3eec294041ad333ce8a836d6a8.ts
 东森财经新闻台,mitv://ns2.hellotvvod.com:9906/39edd9d820054487876d3b137a56c380.ts
 非凡新闻台,mitv://ns2.hellotvvod.com:9906/3c9b8f9890b44977b4fc8a8d64b75b59.ts
 卫视电影台,mitv://ns2.hellotvvod.com:9906/a6982db5fa984f8f88268a8d963b2d22.ts
 东森电影台,mitv://ns2.hellotvvod.com:9906/b252c84d685147e982631f11de728ebd.ts
 纬来电影台,mitv://ns2.hellotvvod.com:9906/acef7f93a0f74ea6af89e262850a5d8f.ts
 龙祥电影,mitv://ns2.hellotvvod.com:9906/5330bf1b959548b68ed041358c8414e6.ts
 HBO,mitv://ns2.hellotvvod.com:9906/b93033df9b6a4bf28af8b566257f5da6.ts
 东森洋片台,mitv://ns2.hellotvvod.com:9906/f22dce75f01347bc95b00c78c877af2b.ts
 AXN,mitv://ns2.hellotvvod.com:9906/f905610f3341488fbffaa1c88d1489d0.ts
